"Hora","MED","MIN","MAX","Periodo"
"00:00:00",14.1,0.7,22.9,"Verão 1 - 2019"
"00:15:00",14.2,0.7,23.6,"Verão 1 - 2019"
"00:30:00",14.4,0.7,24.8,"Verão 1 - 2019"
"00:45:00",14.5,0.7,24.8,"Verão 1 - 2019"
"01:00:00",14.9,0.7,25.1,"Verão 1 - 2019"
"01:15:00",15.1,0.7,25.4,"Verão 1 - 2019"
"01:30:00",15.2,0.7,25.7,"Verão 1 - 2019"
"01:45:00",15.5,0.7,24.6,"Verão 1 - 2019"
"02:00:00",15.6,0.7,26.3,"Verão 1 - 2019"
"02:15:00",15.7,0.7,25.5,"Verão 1 - 2019"
"02:30:00",16.1,0.7,25.7,"Verão 1 - 2019"
"02:45:00",16.1,0.7,25.1,"Verão 1 - 2019"
"03:00:00",16.3,0.7,29.8,"Verão 1 - 2019"
"03:15:00",16.6,0.7,30,"Verão 1 - 2019"
"03:30:00",16.2,0.7,28.2,"Verão 1 - 2019"
"03:45:00",16.6,0.7,28.5,"Verão 1 - 2019"
"04:00:00",16.5,0.7,28.1,"Verão 1 - 2019"
"04:15:00",16.6,0.7,27.9,"Verão 1 - 2019"
"04:30:00",16.7,0.7,28.4,"Verão 1 - 2019"
"04:45:00",16.4,0.7,28.5,"Verão 1 - 2019"
"05:00:00",16.5,0.8,26.6,"Verão 1 - 2019"
"05:15:00",15.9,0.7,23.5,"Verão 1 - 2019"
"05:30:00",16,0.7,25.3,"Verão 1 - 2019"
"05:45:00",15.9,0.7,26,"Verão 1 - 2019"
"06:00:00",16.8,0.7,27.6,"Verão 1 - 2019"
"06:15:00",17.3,0.9,26.6,"Verão 1 - 2019"
"06:30:00",17.3,0.9,26.7,"Verão 1 - 2019"
"06:45:00",17.3,0.9,25,"Verão 1 - 2019"
"07:00:00",17.3,0.9,25.7,"Verão 1 - 2019"
"07:15:00",17.2,0.9,25.7,"Verão 1 - 2019"
"07:30:00",16.9,0.8,23.8,"Verão 1 - 2019"
"07:45:00",16.3,0.8,23.3,"Verão 1 - 2019"
"08:00:00",15.8,0.8,22.2,"Verão 1 - 2019"
"08:15:00",15.5,0.8,25.4,"Verão 1 - 2019"
"08:30:00",14.8,0.6,25.8,"Verão 1 - 2019"
"08:45:00",15,0.8,24.9,"Verão 1 - 2019"
"09:00:00",14.7,0.8,24,"Verão 1 - 2019"
"09:15:00",14.5,0.8,22.6,"Verão 1 - 2019"
"09:30:00",14.4,0.8,22.7,"Verão 1 - 2019"
"09:45:00",14.1,0.8,25.8,"Verão 1 - 2019"
"10:00:00",13.9,0.8,26,"Verão 1 - 2019"
"10:15:00",13.9,0.8,24.8,"Verão 1 - 2019"
"10:30:00",13.6,0.7,22.7,"Verão 1 - 2019"
"10:45:00",13.5,0.8,21.8,"Verão 1 - 2019"
"11:00:00",13.4,0.7,23.4,"Verão 1 - 2019"
"11:15:00",13.4,0.7,24.5,"Verão 1 - 2019"
"11:30:00",13.5,0.7,25.8,"Verão 1 - 2019"
"11:45:00",13.5,0.8,24,"Verão 1 - 2019"
"12:00:00",13.5,0.7,20.8,"Verão 1 - 2019"
"12:15:00",13.6,0.7,20.8,"Verão 1 - 2019"
"12:30:00",13.4,0.7,21.8,"Verão 1 - 2019"
"12:45:00",13.3,0.7,21.6,"Verão 1 - 2019"
"13:00:00",13.4,0.7,22.1,"Verão 1 - 2019"
"13:15:00",13.4,0.7,22.1,"Verão 1 - 2019"
"13:30:00",13.5,0.7,22.4,"Verão 1 - 2019"
"13:45:00",13.5,0.7,20.8,"Verão 1 - 2019"
"14:00:00",13.3,0.7,21,"Verão 1 - 2019"
"14:15:00",13.2,0.6,21.8,"Verão 1 - 2019"
"14:30:00",13.3,0.6,22.3,"Verão 1 - 2019"
"14:45:00",13,0.6,22.3,"Verão 1 - 2019"
"15:00:00",13.2,0.6,22.9,"Verão 1 - 2019"
"15:15:00",13.5,0.6,22.5,"Verão 1 - 2019"
"15:30:00",13.3,0.6,22.1,"Verão 1 - 2019"
"15:45:00",13.3,0.6,22.5,"Verão 1 - 2019"
"16:00:00",13.1,0.6,22.2,"Verão 1 - 2019"
"16:15:00",13.2,0.6,22.8,"Verão 1 - 2019"
"16:30:00",13.2,0.6,21.8,"Verão 1 - 2019"
"16:45:00",13.4,0.6,22.5,"Verão 1 - 2019"
"17:00:00",13.1,0.5,22.5,"Verão 1 - 2019"
"17:15:00",13.5,0.7,22.9,"Verão 1 - 2019"
"17:30:00",13.9,0.7,29.4,"Verão 1 - 2019"
"17:45:00",13.4,0.7,32.3,"Verão 1 - 2019"
"18:00:00",13.5,0.7,27.8,"Verão 1 - 2019"
"18:15:00",13.3,0.7,18.3,"Verão 1 - 2019"
"18:30:00",13.5,0.7,21.6,"Verão 1 - 2019"
"18:45:00",13.6,0.7,22.7,"Verão 1 - 2019"
"19:00:00",13.5,0.7,19,"Verão 1 - 2019"
"19:15:00",13.4,0.7,19.1,"Verão 1 - 2019"
"19:30:00",13.2,0.7,19.6,"Verão 1 - 2019"
"19:45:00",13.1,0.7,19.8,"Verão 1 - 2019"
"20:00:00",13.1,0.7,19.6,"Verão 1 - 2019"
"20:15:00",13.3,0.7,20,"Verão 1 - 2019"
"20:30:00",13.2,0.7,22.6,"Verão 1 - 2019"
"20:45:00",13.5,0.7,24.9,"Verão 1 - 2019"
"21:00:00",13.2,0.7,21.2,"Verão 1 - 2019"
"21:15:00",13.3,0.7,20.2,"Verão 1 - 2019"
"21:30:00",13.2,0.7,20.2,"Verão 1 - 2019"
"21:45:00",12.9,0.7,20.1,"Verão 1 - 2019"
"22:00:00",13,0.6,20.9,"Verão 1 - 2019"
"22:15:00",13.2,0.7,20.9,"Verão 1 - 2019"
"22:30:00",13.3,0.6,20.3,"Verão 1 - 2019"
"22:45:00",13.3,0.7,20.4,"Verão 1 - 2019"
"23:00:00",13.4,0.7,22,"Verão 1 - 2019"
"23:15:00",13.8,0.7,22.1,"Verão 1 - 2019"
"23:30:00",13.7,0.7,21.6,"Verão 1 - 2019"
"23:45:00",14.1,0.7,21.3,"Verão 1 - 2019"
"00:00:00",9.6,0.4,22.7,"Verão 1 - 2020"
"00:15:00",9.6,0.4,21.5,"Verão 1 - 2020"
"00:30:00",9.8,0.4,21.3,"Verão 1 - 2020"
"00:45:00",9.9,0.4,21.3,"Verão 1 - 2020"
"01:00:00",10.1,0.4,21.5,"Verão 1 - 2020"
"01:15:00",10.3,0.4,21.9,"Verão 1 - 2020"
"01:30:00",10.7,0.4,22.2,"Verão 1 - 2020"
"01:45:00",11,0.4,22.3,"Verão 1 - 2020"
"02:00:00",11.2,0.4,22.3,"Verão 1 - 2020"
"02:15:00",11.4,0.5,22.6,"Verão 1 - 2020"
"02:30:00",11.6,0.5,22.2,"Verão 1 - 2020"
"02:45:00",11.8,0.5,22.2,"Verão 1 - 2020"
"03:00:00",12,0.6,22.4,"Verão 1 - 2020"
"03:15:00",12.2,0.5,22.3,"Verão 1 - 2020"
"03:30:00",12.3,0.6,22.3,"Verão 1 - 2020"
"03:45:00",12.4,0.6,22.2,"Verão 1 - 2020"
"04:00:00",12.6,0.7,22.2,"Verão 1 - 2020"
"04:15:00",12.9,0.8,26.8,"Verão 1 - 2020"
"04:30:00",13,0.8,26.9,"Verão 1 - 2020"
"04:45:00",13.2,0.8,26.5,"Verão 1 - 2020"
"05:00:00",13.4,0.8,24.9,"Verão 1 - 2020"
"05:15:00",13.2,0.8,21.6,"Verão 1 - 2020"
"05:30:00",13.6,0.9,22.7,"Verão 1 - 2020"
"05:45:00",14.7,0.9,22.6,"Verão 1 - 2020"
"06:00:00",15.5,1,24,"Verão 1 - 2020"
"06:15:00",16.1,1.1,21.6,"Verão 1 - 2020"
"06:30:00",16.1,1.1,21.4,"Verão 1 - 2020"
"06:45:00",16.1,1,21.2,"Verão 1 - 2020"
"07:00:00",15.8,1,20.7,"Verão 1 - 2020"
"07:15:00",15.9,0.9,21.5,"Verão 1 - 2020"
"07:30:00",15.9,0.8,26.7,"Verão 1 - 2020"
"07:45:00",15.6,0.7,21,"Verão 1 - 2020"
"08:00:00",15.4,0.6,21.7,"Verão 1 - 2020"
"08:15:00",15.1,0.5,21,"Verão 1 - 2020"
"08:30:00",14.9,0.5,20.2,"Verão 1 - 2020"
"08:45:00",14.8,0.4,21.1,"Verão 1 - 2020"
"09:00:00",14.9,0.4,24.1,"Verão 1 - 2020"
"09:15:00",14.9,0.4,23.8,"Verão 1 - 2020"
"09:30:00",14.8,0.4,19.2,"Verão 1 - 2020"
"09:45:00",14.9,0.4,19.4,"Verão 1 - 2020"
"10:00:00",14.8,0.4,18.8,"Verão 1 - 2020"
"10:15:00",14.8,0.4,19.2,"Verão 1 - 2020"
"10:30:00",14.6,0.4,19.3,"Verão 1 - 2020"
"10:45:00",14.9,0.4,20.1,"Verão 1 - 2020"
"11:00:00",14.7,0.4,20.6,"Verão 1 - 2020"
"11:15:00",14.6,0.4,20.2,"Verão 1 - 2020"
"11:30:00",14.6,0.4,20.4,"Verão 1 - 2020"
"11:45:00",14.2,0.4,18.9,"Verão 1 - 2020"
"12:00:00",14.2,0.4,19.7,"Verão 1 - 2020"
"12:15:00",14.2,0.4,19.4,"Verão 1 - 2020"
"12:30:00",14.4,0.4,19,"Verão 1 - 2020"
"12:45:00",14.4,0.4,19.2,"Verão 1 - 2020"
"13:00:00",14.6,0.4,21.2,"Verão 1 - 2020"
"13:15:00",14.6,0.4,21.2,"Verão 1 - 2020"
"13:30:00",14.7,0.4,21.2,"Verão 1 - 2020"
"13:45:00",14.7,0.4,20.1,"Verão 1 - 2020"
"14:00:00",14.8,0.4,20.2,"Verão 1 - 2020"
"14:15:00",14.7,0.4,20.1,"Verão 1 - 2020"
"14:30:00",15,0.4,20.5,"Verão 1 - 2020"
"14:45:00",14.9,0.4,20.3,"Verão 1 - 2020"
"15:00:00",14.8,0.4,20.2,"Verão 1 - 2020"
"15:15:00",14.6,0.4,21.9,"Verão 1 - 2020"
"15:30:00",14.5,0.4,23.9,"Verão 1 - 2020"
"15:45:00",14.5,0.4,23,"Verão 1 - 2020"
"16:00:00",14.5,0.4,22.8,"Verão 1 - 2020"
"16:15:00",14.6,0.4,22.7,"Verão 1 - 2020"
"16:30:00",14.6,0.4,22.3,"Verão 1 - 2020"
"16:45:00",14.7,0.4,22.4,"Verão 1 - 2020"
"17:00:00",14.6,0.4,22.3,"Verão 1 - 2020"
"17:15:00",14.5,0.4,21,"Verão 1 - 2020"
"17:30:00",14.4,0.4,20.9,"Verão 1 - 2020"
"17:45:00",14.5,0.4,21.2,"Verão 1 - 2020"
"18:00:00",14.5,0.4,21.6,"Verão 1 - 2020"
"18:15:00",14.8,0.4,21.7,"Verão 1 - 2020"
"18:30:00",14.8,0.5,21.6,"Verão 1 - 2020"
"18:45:00",14.7,0.5,21.9,"Verão 1 - 2020"
"19:00:00",14.7,0.5,21.3,"Verão 1 - 2020"
"19:15:00",14.7,0.5,21.7,"Verão 1 - 2020"
"19:30:00",14.6,0.4,20.7,"Verão 1 - 2020"
"19:45:00",14.6,0.4,21.2,"Verão 1 - 2020"
"20:00:00",14.6,0.4,21.5,"Verão 1 - 2020"
"20:15:00",14.6,0.4,19.8,"Verão 1 - 2020"
"20:30:00",14.7,0.5,20,"Verão 1 - 2020"
"20:45:00",14.6,0.5,19.7,"Verão 1 - 2020"
"21:00:00",14.5,0.5,19.6,"Verão 1 - 2020"
"21:15:00",13.9,0.5,19.9,"Verão 1 - 2020"
"21:30:00",13.7,0.5,20.4,"Verão 1 - 2020"
"21:45:00",13.1,0.5,20.6,"Verão 1 - 2020"
"22:00:00",11.9,0.6,20.7,"Verão 1 - 2020"
"22:15:00",10.7,0.6,21.3,"Verão 1 - 2020"
"22:30:00",10.1,0.4,21.5,"Verão 1 - 2020"
"22:45:00",9.8,0.4,21.3,"Verão 1 - 2020"
"23:00:00",9.6,0.4,21.1,"Verão 1 - 2020"
"23:15:00",9.5,0.4,21.2,"Verão 1 - 2020"
"23:30:00",9.5,0.4,21.3,"Verão 1 - 2020"
"23:45:00",9.4,0.4,21.4,"Verão 1 - 2020"
"00:00:00",1,0.4,9.2,"Verão 1 - 2021"
"00:15:00",1.1,0.4,9.5,"Verão 1 - 2021"
"00:30:00",1.1,0.4,9.6,"Verão 1 - 2021"
"00:45:00",1.2,0.4,9.2,"Verão 1 - 2021"
"01:00:00",1.2,0.4,8.8,"Verão 1 - 2021"
"01:15:00",1.2,0.4,8.8,"Verão 1 - 2021"
"01:30:00",1.3,0.4,8.8,"Verão 1 - 2021"
"01:45:00",1.3,0.4,7.8,"Verão 1 - 2021"
"02:00:00",1.4,0.4,7.2,"Verão 1 - 2021"
"02:15:00",1.5,0.4,8.7,"Verão 1 - 2021"
"02:30:00",1.6,0.4,8.9,"Verão 1 - 2021"
"02:45:00",1.6,0.4,8.6,"Verão 1 - 2021"
"03:00:00",1.6,0.4,8.9,"Verão 1 - 2021"
"03:15:00",1.6,0.4,9,"Verão 1 - 2021"
"03:30:00",1.8,0.4,9,"Verão 1 - 2021"
"03:45:00",2,0.4,9.1,"Verão 1 - 2021"
"04:00:00",2.2,0.4,9.2,"Verão 1 - 2021"
"04:15:00",2.5,0.4,12.4,"Verão 1 - 2021"
"04:30:00",3.1,0.4,10.8,"Verão 1 - 2021"
"04:45:00",3.9,0.4,13.1,"Verão 1 - 2021"
"05:00:00",4.2,0.4,11.9,"Verão 1 - 2021"
"05:15:00",4.7,0.4,11.1,"Verão 1 - 2021"
"05:30:00",5.4,0.4,11.7,"Verão 1 - 2021"
