"Hora","MED","MIN","MAX","Periodo"
"00:00:00",217.5,135.1,1433.4,"Verão 1 2019"
"00:15:00",210.8,128.2,1258.5,"Verão 1 2019"
"00:30:00",225.7,126.6,1425.9,"Verão 1 2019"
"00:45:00",196.2,129.9,912.2,"Verão 1 2019"
"01:00:00",213.1,122,1666.8,"Verão 1 2019"
"01:15:00",201.6,114.9,908,"Verão 1 2019"
"01:30:00",209.6,119.1,1439.8,"Verão 1 2019"
"01:45:00",223.1,122,1433.5,"Verão 1 2019"
"02:00:00",190.3,111.1,835.9,"Verão 1 2019"
"02:15:00",215.7,109.9,1433.4,"Verão 1 2019"
"02:30:00",189.7,100,911.5,"Verão 1 2019"
"02:45:00",200.9,107.5,1002.4,"Verão 1 2019"
"03:00:00",211.7,112.4,1670,"Verão 1 2019"
"03:15:00",179.5,104.2,555.6,"Verão 1 2019"
"03:30:00",186.2,105.3,770.7,"Verão 1 2019"
"03:45:00",189.5,109.9,1246.1,"Verão 1 2019"
"04:00:00",184.6,108.7,1111.1,"Verão 1 2019"
"04:15:00",185.5,108.7,835.1,"Verão 1 2019"
"04:30:00",206.5,104.2,1253.9,"Verão 1 2019"
"04:45:00",179.4,107.5,770.7,"Verão 1 2019"
"05:00:00",178.8,107.5,667.7,"Verão 1 2019"
"05:15:00",201.3,129.9,835.1,"Verão 1 2019"
"05:30:00",210.4,138.9,770.7,"Verão 1 2019"
"05:45:00",225.9,131.6,1673.2,"Verão 1 2019"
"06:00:00",217.3,135.1,833.4,"Verão 1 2019"
"06:15:00",233.8,138.9,1114,"Verão 1 2019"
"06:30:00",224.5,149.3,1116.8,"Verão 1 2019"
"06:45:00",213.3,149.3,370.7,"Verão 1 2019"
"07:00:00",232.1,151.5,1250.4,"Verão 1 2019"
"07:15:00",245.4,149.3,1437,"Verão 1 2019"
"07:30:00",235.3,156.3,714.3,"Verão 1 2019"
"07:45:00",239.7,156.3,833.4,"Verão 1 2019"
"08:00:00",238.8,158.8,911.1,"Verão 1 2019"
"08:15:00",241.3,163.9,767.3,"Verão 1 2019"
"08:30:00",254.6,39.2,1666.8,"Verão 1 2019"
"08:45:00",273.3,166.7,1440,"Verão 1 2019"
"09:00:00",249.6,172.4,1114.1,"Verão 1 2019"
"09:15:00",256,172.4,1250.1,"Verão 1 2019"
"09:30:00",277.1,149.2,2000.1,"Verão 1 2019"
"09:45:00",246.8,156.3,770.6,"Verão 1 2019"
"10:00:00",252.6,153.9,835.3,"Verão 1 2019"
"10:15:00",287.4,158.7,1250.1,"Verão 1 2019"
"10:30:00",283.3,42.2,1666.7,"Verão 1 2019"
"10:45:00",286.3,163.9,1666.7,"Verão 1 2019"
"11:00:00",258.4,169.6,835,"Verão 1 2019"
"11:15:00",265.7,172.4,770.6,"Verão 1 2019"
"11:30:00",273.8,175.4,1114.1,"Verão 1 2019"
"11:45:00",284,156.3,1665.8,"Verão 1 2019"
"12:00:00",257.6,81.3,837.4,"Verão 1 2019"
"12:15:00",275.8,181.7,1428.7,"Verão 1 2019"
"12:30:00",278.1,129.9,1673.1,"Verão 1 2019"
"12:45:00",259.8,166.7,916.2,"Verão 1 2019"
"13:00:00",261.9,161.3,911.1,"Verão 1 2019"
"13:15:00",270.7,169.5,1433.5,"Verão 1 2019"
"13:30:00",280.2,181.9,2009.6,"Verão 1 2019"
"13:45:00",283.2,175.5,1257.9,"Verão 1 2019"
"14:00:00",282.4,178.6,1673.2,"Verão 1 2019"
"14:15:00",236.7,69.4,357.2,"Verão 1 2019"
"14:30:00",306.6,144.9,2510.2,"Verão 1 2019"
"14:45:00",292,34.2,2000.2,"Verão 1 2019"
"15:00:00",273.2,153.9,1666.9,"Verão 1 2019"
"15:15:00",254.6,172.5,911.1,"Verão 1 2019"
"15:30:00",254.2,169.4,911.1,"Verão 1 2019"
