"Hora","MED","MIN","MAX","Periodo"
"00:00:00",2.8,0.6,8.2,"Verão 1 - 2021"
"00:15:00",2.8,0.5,8.8,"Verão 1 - 2021"
"00:30:00",2.9,0.4,11.6,"Verão 1 - 2021"
"00:45:00",2.9,0.4,12.7,"Verão 1 - 2021"
"01:00:00",2.9,0.4,13.2,"Verão 1 - 2021"
"01:15:00",3,0.4,12.2,"Verão 1 - 2021"
"01:30:00",2.9,0.4,12.5,"Verão 1 - 2021"
"01:45:00",2.9,0.4,12.8,"Verão 1 - 2021"
"02:00:00",3,0.4,12.4,"Verão 1 - 2021"
"02:15:00",3,0.4,11.6,"Verão 1 - 2021"
"02:30:00",3.1,0.4,10.9,"Verão 1 - 2021"
"02:45:00",3.1,0.4,10.7,"Verão 1 - 2021"
"03:00:00",3.2,0.4,10.8,"Verão 1 - 2021"
"03:15:00",3.3,0.4,11.3,"Verão 1 - 2021"
"03:30:00",3.4,0.4,11.4,"Verão 1 - 2021"
"03:45:00",3.4,0.4,12,"Verão 1 - 2021"
"04:00:00",3.5,0.4,12.1,"Verão 1 - 2021"
"04:15:00",3.6,0.4,12.4,"Verão 1 - 2021"
"04:30:00",3.6,0.4,12.8,"Verão 1 - 2021"
"04:45:00",3.9,0.4,13,"Verão 1 - 2021"
"05:00:00",4.3,0.4,13.1,"Verão 1 - 2021"
"05:15:00",4.8,0.4,13.1,"Verão 1 - 2021"
"05:30:00",5.1,0.4,14.1,"Verão 1 - 2021"
"05:45:00",5.5,0.4,14,"Verão 1 - 2021"
"06:00:00",6.1,0.4,13.1,"Verão 1 - 2021"
"06:15:00",6.8,0.4,13.9,"Verão 1 - 2021"
"06:30:00",7.4,0.4,15.7,"Verão 1 - 2021"
"06:45:00",8.1,0.7,15.6,"Verão 1 - 2021"
"07:00:00",8.6,2,15.1,"Verão 1 - 2021"
"07:15:00",8.8,3.4,15.2,"Verão 1 - 2021"
"07:30:00",8.6,3.5,15.5,"Verão 1 - 2021"
"07:45:00",8.6,3.2,15.2,"Verão 1 - 2021"
"08:00:00",8.5,3,15.1,"Verão 1 - 2021"
"08:15:00",8.4,2.6,14.6,"Verão 1 - 2021"
"08:30:00",8.3,2.4,13.8,"Verão 1 - 2021"
"08:45:00",8.3,2.3,13.5,"Verão 1 - 2021"
"09:00:00",8.3,2.2,13.2,"Verão 1 - 2021"
"09:15:00",8.1,2.1,12.7,"Verão 1 - 2021"
"09:30:00",7.9,2,12.3,"Verão 1 - 2021"
"09:45:00",7.7,2,11.8,"Verão 1 - 2021"
"10:00:00",7.7,2.1,11.4,"Verão 1 - 2021"
"10:15:00",7.6,2,11,"Verão 1 - 2021"
"10:30:00",7.5,1.8,10.9,"Verão 1 - 2021"
"10:45:00",7.4,1.8,10.4,"Verão 1 - 2021"
"11:00:00",7.4,1.6,10.6,"Verão 1 - 2021"
"11:15:00",7.5,2.3,10.9,"Verão 1 - 2021"
"11:30:00",7.6,2.2,10.7,"Verão 1 - 2021"
"11:45:00",7.7,3.8,11.3,"Verão 1 - 2021"
"12:00:00",7.7,3.9,11,"Verão 1 - 2021"
"12:15:00",7.8,3.9,11,"Verão 1 - 2021"
"12:30:00",7.7,3.8,10.7,"Verão 1 - 2021"
"12:45:00",7.6,3.8,10.2,"Verão 1 - 2021"
"13:00:00",7.6,3.9,10.3,"Verão 1 - 2021"
