"Hora","MED","MIN","MAX","Periodo"
"00:00:00",14.5,4.5,21.5,"Verão 1 - 2019"
"00:15:00",14.7,4.6,21.5,"Verão 1 - 2019"
"00:30:00",14.9,4.3,21.8,"Verão 1 - 2019"
"00:45:00",15,4.3,21.5,"Verão 1 - 2019"
"01:00:00",15.3,4.3,21.8,"Verão 1 - 2019"
"01:15:00",15.5,4.2,22.1,"Verão 1 - 2019"
"01:30:00",15.6,4.3,22.1,"Verão 1 - 2019"
"01:45:00",15.8,4.2,22.4,"Verão 1 - 2019"
"02:00:00",15.9,4.1,22.7,"Verão 1 - 2019"
"02:15:00",16,4.2,23.5,"Verão 1 - 2019"
"02:30:00",15.9,4.3,22.2,"Verão 1 - 2019"
"02:45:00",16,4.3,22.8,"Verão 1 - 2019"
"03:00:00",16.1,4.3,23.2,"Verão 1 - 2019"
"03:15:00",16.1,4.2,22.6,"Verão 1 - 2019"
"03:30:00",16.2,4.3,23.3,"Verão 1 - 2019"
"03:45:00",16.2,5,23.7,"Verão 1 - 2019"
"04:00:00",16.3,7.2,23.2,"Verão 1 - 2019"
"04:15:00",16.2,7.2,23.4,"Verão 1 - 2019"
"04:30:00",16.2,5.9,23.7,"Verão 1 - 2019"
"04:45:00",16.2,3.8,23.5,"Verão 1 - 2019"
"05:00:00",16.1,3.6,23.7,"Verão 1 - 2019"
"05:15:00",17.3,3.3,24.4,"Verão 1 - 2019"
"05:30:00",17.1,3.1,23.9,"Verão 1 - 2019"
"05:45:00",17.1,2.8,23.9,"Verão 1 - 2019"
"06:00:00",17.3,2.4,23.8,"Verão 1 - 2019"
"06:15:00",17.3,2.1,23.4,"Verão 1 - 2019"
"06:30:00",17,1.7,24.2,"Verão 1 - 2019"
"06:45:00",16.7,1.6,23.3,"Verão 1 - 2019"
"07:00:00",16.5,1.4,23.8,"Verão 1 - 2019"
"07:15:00",16.2,1.3,23.5,"Verão 1 - 2019"
"07:30:00",15.9,1.2,23.5,"Verão 1 - 2019"
"07:45:00",15.6,1.1,23.2,"Verão 1 - 2019"
"08:00:00",15.2,1.1,22.8,"Verão 1 - 2019"
"08:15:00",14.9,1.1,22.8,"Verão 1 - 2019"
"08:30:00",14.3,1,22.2,"Verão 1 - 2019"
"08:45:00",13.9,1.1,22.2,"Verão 1 - 2019"
"09:00:00",13.4,1,22.1,"Verão 1 - 2019"
"09:15:00",13.2,0.8,23.1,"Verão 1 - 2019"
"09:30:00",12.8,0.7,23.4,"Verão 1 - 2019"
"09:45:00",12.7,0.6,23.9,"Verão 1 - 2019"
"10:00:00",12.5,0.6,23.2,"Verão 1 - 2019"
"10:15:00",12.3,0.6,22.7,"Verão 1 - 2019"
"10:30:00",12.2,0.6,22.3,"Verão 1 - 2019"
"10:45:00",12.1,0.8,22,"Verão 1 - 2019"
"11:00:00",12.1,0.7,21.3,"Verão 1 - 2019"
"11:15:00",12.1,0.6,21.2,"Verão 1 - 2019"
"11:30:00",12,0.6,21.5,"Verão 1 - 2019"
"11:45:00",12.1,0.6,21.8,"Verão 1 - 2019"
"12:00:00",12.1,0.6,21.4,"Verão 1 - 2019"
"12:15:00",12.3,0.6,21.6,"Verão 1 - 2019"
"12:30:00",12.3,0.5,21.4,"Verão 1 - 2019"
"12:45:00",12.3,0.5,21.2,"Verão 1 - 2019"
"13:00:00",12.3,0.5,21.7,"Verão 1 - 2019"
"13:15:00",12.4,0.5,22.7,"Verão 1 - 2019"
"13:30:00",12.4,0.5,23.3,"Verão 1 - 2019"
"13:45:00",12.4,0.5,23.1,"Verão 1 - 2019"
"14:00:00",12.4,0.5,22.7,"Verão 1 - 2019"
"14:15:00",12.5,0.5,22.2,"Verão 1 - 2019"
"14:30:00",12.3,0.5,22.1,"Verão 1 - 2019"
"14:45:00",12.2,0.5,21.7,"Verão 1 - 2019"
"15:00:00",12.2,0.6,22.3,"Verão 1 - 2019"
"15:15:00",12.2,0.6,20.9,"Verão 1 - 2019"
"15:30:00",12.1,0.6,21.6,"Verão 1 - 2019"
"15:45:00",12.1,0.6,22,"Verão 1 - 2019"
"16:00:00",12.1,0.6,21.5,"Verão 1 - 2019"
"16:15:00",12.2,0.6,21.5,"Verão 1 - 2019"
"16:30:00",12.2,0.5,21.5,"Verão 1 - 2019"
"16:45:00",12.3,1.1,21.3,"Verão 1 - 2019"
"17:00:00",12.5,1.1,21.4,"Verão 1 - 2019"
"17:15:00",12.7,1.3,21.4,"Verão 1 - 2019"
"17:30:00",12.9,1.5,21.3,"Verão 1 - 2019"
"17:45:00",13,3.3,21.4,"Verão 1 - 2019"
"18:00:00",13,4,21.7,"Verão 1 - 2019"
"18:15:00",13.1,4,21.5,"Verão 1 - 2019"
"18:30:00",13.3,4.1,21.4,"Verão 1 - 2019"
"18:45:00",13.5,4.1,21.3,"Verão 1 - 2019"
"19:00:00",13.6,4.1,21.3,"Verão 1 - 2019"
"19:15:00",13.7,4.1,21.2,"Verão 1 - 2019"
"19:30:00",13.8,4.2,21.5,"Verão 1 - 2019"
"19:45:00",13.9,4.2,22.4,"Verão 1 - 2019"
"20:00:00",13.9,4.2,22.2,"Verão 1 - 2019"
"20:15:00",13.9,4.3,22.3,"Verão 1 - 2019"
"20:30:00",13.9,4.2,22.3,"Verão 1 - 2019"
"20:45:00",14.1,4.1,23.1,"Verão 1 - 2019"
"21:00:00",14.2,4.2,23.7,"Verão 1 - 2019"
"21:15:00",14.1,4.1,22.7,"Verão 1 - 2019"
"21:30:00",14.2,4.1,24.2,"Verão 1 - 2019"
"21:45:00",14.2,4.2,23.5,"Verão 1 - 2019"
"22:00:00",14.2,4.3,23.5,"Verão 1 - 2019"
"22:15:00",14.1,4.3,22.7,"Verão 1 - 2019"
"22:30:00",14.3,4.2,22.8,"Verão 1 - 2019"
"22:45:00",14.3,4.2,22.3,"Verão 1 - 2019"
"23:00:00",14.5,4.2,23.1,"Verão 1 - 2019"
"23:15:00",14.5,4.2,22.4,"Verão 1 - 2019"
"23:30:00",14.3,4.3,21.5,"Verão 1 - 2019"
"23:45:00",14.3,4.2,21.4,"Verão 1 - 2019"
"00:00:00",10.1,0.3,20,"Verão 1 - 2020"
"00:15:00",10.2,0.3,20.1,"Verão 1 - 2020"
"00:30:00",10.3,0.3,20.1,"Verão 1 - 2020"
"00:45:00",10.5,0.4,20.6,"Verão 1 - 2020"
"01:00:00",10.8,0.6,20.4,"Verão 1 - 2020"
"01:15:00",11,1.1,20.5,"Verão 1 - 2020"
"01:30:00",11.2,1.6,20.9,"Verão 1 - 2020"
"01:45:00",11.5,1.8,21.1,"Verão 1 - 2020"
"02:00:00",11.8,2.6,21,"Verão 1 - 2020"
"02:15:00",12,3.3,21.4,"Verão 1 - 2020"
"02:30:00",12.3,3.7,21.8,"Verão 1 - 2020"
"02:45:00",12.5,4,18.6,"Verão 1 - 2020"
"03:00:00",12.8,4.3,18.4,"Verão 1 - 2020"
"03:15:00",13,4.5,18.5,"Verão 1 - 2020"
"03:30:00",13.2,4.8,18.6,"Verão 1 - 2020"
"03:45:00",13.4,5.1,18.5,"Verão 1 - 2020"
"04:00:00",13.5,5.1,18.7,"Verão 1 - 2020"
"04:15:00",13.7,5.1,18.6,"Verão 1 - 2020"
"04:30:00",13.8,5.2,18.1,"Verão 1 - 2020"
"04:45:00",14,5.3,21.3,"Verão 1 - 2020"
"05:00:00",14,5.4,20.9,"Verão 1 - 2020"
"05:15:00",13.9,5.2,20.7,"Verão 1 - 2020"
"05:30:00",13.7,5.1,20.5,"Verão 1 - 2020"
"05:45:00",13.5,5,19,"Verão 1 - 2020"
"06:00:00",13.8,4.9,19.3,"Verão 1 - 2020"
"06:15:00",14.2,5,19.5,"Verão 1 - 2020"
"06:30:00",14.5,5.3,20.2,"Verão 1 - 2020"
"06:45:00",14.4,5.3,18.2,"Verão 1 - 2020"
"07:00:00",14.2,5.2,17.8,"Verão 1 - 2020"
"07:15:00",13.9,5,17.2,"Verão 1 - 2020"
"07:30:00",13.5,5,17.3,"Verão 1 - 2020"
"07:45:00",13.3,4.9,21.2,"Verão 1 - 2020"
"08:00:00",12.9,4.7,19.7,"Verão 1 - 2020"
"08:15:00",12.5,4.6,17.9,"Verão 1 - 2020"
"08:30:00",12,4.4,17.5,"Verão 1 - 2020"
"08:45:00",11.6,4.3,17.3,"Verão 1 - 2020"
"09:00:00",11.2,4,18.3,"Verão 1 - 2020"
"09:15:00",11,3.8,17.9,"Verão 1 - 2020"
"09:30:00",10.8,3.8,17.5,"Verão 1 - 2020"
"09:45:00",10.6,3.7,17.3,"Verão 1 - 2020"
"10:00:00",10.4,3.6,17,"Verão 1 - 2020"
"10:15:00",10.2,3.6,16.9,"Verão 1 - 2020"
"10:30:00",10,2.8,16.5,"Verão 1 - 2020"
"10:45:00",9.8,2.7,16.2,"Verão 1 - 2020"
"11:00:00",9.6,1.2,15.6,"Verão 1 - 2020"
"11:15:00",9.5,1,15.3,"Verão 1 - 2020"
"11:30:00",9.5,0.7,15.1,"Verão 1 - 2020"
"11:45:00",9.4,0.5,14.8,"Verão 1 - 2020"
"12:00:00",9.5,0.4,15.1,"Verão 1 - 2020"
"12:15:00",9.4,0.4,14.4,"Verão 1 - 2020"
"12:30:00",9.4,0.4,14.5,"Verão 1 - 2020"
"12:45:00",9.5,0.4,14.3,"Verão 1 - 2020"
"13:00:00",9.5,0.4,14.2,"Verão 1 - 2020"
"13:15:00",9.6,0.4,14,"Verão 1 - 2020"
"13:30:00",9.7,0.4,14.8,"Verão 1 - 2020"
"13:45:00",9.7,0.4,14.8,"Verão 1 - 2020"
"14:00:00",9.8,0.4,14.9,"Verão 1 - 2020"
"14:15:00",9.7,0.4,14.8,"Verão 1 - 2020"
"14:30:00",9.7,0.3,17.2,"Verão 1 - 2020"
"14:45:00",9.8,0.4,17.3,"Verão 1 - 2020"
"15:00:00",9.8,0.4,17.4,"Verão 1 - 2020"
"15:15:00",9.8,0.4,17.1,"Verão 1 - 2020"
"15:30:00",9.8,0.3,17.2,"Verão 1 - 2020"
"15:45:00",9.7,0.3,17.2,"Verão 1 - 2020"
"16:00:00",9.7,0.3,17.2,"Verão 1 - 2020"
"16:15:00",9.8,0.3,17.1,"Verão 1 - 2020"
"16:30:00",9.8,0.4,16.4,"Verão 1 - 2020"
"16:45:00",9.9,0.3,16.3,"Verão 1 - 2020"
"17:00:00",10,0.3,16.2,"Verão 1 - 2020"
"17:15:00",10,0.3,15.9,"Verão 1 - 2020"
"17:30:00",10.1,0.3,16.1,"Verão 1 - 2020"
"17:45:00",10.2,0.3,16.6,"Verão 1 - 2020"
"18:00:00",10.3,0.3,17.2,"Verão 1 - 2020"
"18:15:00",10.4,0.3,17.5,"Verão 1 - 2020"
"18:30:00",10.5,0.3,17.6,"Verão 1 - 2020"
"18:45:00",10.6,0.3,17.5,"Verão 1 - 2020"
"19:00:00",10.8,0.3,17.2,"Verão 1 - 2020"
"19:15:00",10.9,0.3,17.2,"Verão 1 - 2020"
"19:30:00",11,0.3,17.6,"Verão 1 - 2020"
"19:45:00",11,0.3,17.6,"Verão 1 - 2020"
"20:00:00",11.1,0.3,17.8,"Verão 1 - 2020"
"20:15:00",11.2,0.3,18,"Verão 1 - 2020"
"20:30:00",11.4,0.3,18,"Verão 1 - 2020"
"20:45:00",11.4,0.3,17.8,"Verão 1 - 2020"
"21:00:00",11.5,0.3,18.3,"Verão 1 - 2020"
"21:15:00",11.6,0.3,17.9,"Verão 1 - 2020"
"21:30:00",11.5,0.3,18.2,"Verão 1 - 2020"
"21:45:00",11.3,0.3,18.4,"Verão 1 - 2020"
"22:00:00",11.2,0.3,18.6,"Verão 1 - 2020"
"22:15:00",10.9,0.3,18.8,"Verão 1 - 2020"
"22:30:00",10.4,0.3,19.3,"Verão 1 - 2020"
"22:45:00",10,0.3,19.5,"Verão 1 - 2020"
"23:00:00",9.8,0.3,19.7,"Verão 1 - 2020"
"23:15:00",9.7,0.3,19.5,"Verão 1 - 2020"
"23:30:00",9.7,0.3,19.4,"Verão 1 - 2020"
"23:45:00",9.8,0.3,19.5,"Verão 1 - 2020"
"00:00:00",3.5,1.1,9.5,"Verão 1 - 2021"
"00:15:00",3.4,1,10.2,"Verão 1 - 2021"
"00:30:00",3.4,0.9,10.8,"Verão 1 - 2021"
"00:45:00",3.5,0.8,13,"Verão 1 - 2021"
"01:00:00",3.5,0.7,14.7,"Verão 1 - 2021"
"01:15:00",3.5,0.6,15.8,"Verão 1 - 2021"
"01:30:00",3.6,0.6,15.3,"Verão 1 - 2021"
"01:45:00",3.5,0.5,15.1,"Verão 1 - 2021"
"02:00:00",3.5,0.5,15.5,"Verão 1 - 2021"
"02:15:00",3.5,0.6,15.8,"Verão 1 - 2021"
"02:30:00",3.5,0.6,14.1,"Verão 1 - 2021"
"02:45:00",3.6,0.6,13.1,"Verão 1 - 2021"
"03:00:00",3.7,0.5,12.3,"Verão 1 - 2021"
"03:15:00",3.7,0.5,12.2,"Verão 1 - 2021"
"03:30:00",3.8,0.5,12.1,"Verão 1 - 2021"
"03:45:00",3.9,0.5,12.4,"Verão 1 - 2021"
"04:00:00",4,0.5,12.8,"Verão 1 - 2021"
"04:15:00",4,0.5,13.1,"Verão 1 - 2021"
"04:30:00",4.1,0.5,13.4,"Verão 1 - 2021"
"04:45:00",4.1,0.5,13.9,"Verão 1 - 2021"
"05:00:00",4.4,0.5,14,"Verão 1 - 2021"
"05:15:00",4.8,0.5,14.3,"Verão 1 - 2021"
"05:30:00",5.3,0.5,14.5,"Verão 1 - 2021"
"05:45:00",5.8,0.4,14.6,"Verão 1 - 2021"
"06:00:00",6.2,0.5,16.5,"Verão 1 - 2021"
"06:15:00",6.8,0.5,14.8,"Verão 1 - 2021"
"06:30:00",7.7,0.4,15.1,"Verão 1 - 2021"
"06:45:00",8.5,0.5,17.1,"Verão 1 - 2021"
"07:00:00",9.3,0.7,17.4,"Verão 1 - 2021"
"07:15:00",10,1.9,17.1,"Verão 1 - 2021"
"07:30:00",10.4,4.2,17,"Verão 1 - 2021"
"07:45:00",10.5,4.2,16.8,"Verão 1 - 2021"
"08:00:00",10.4,4.1,16.8,"Verão 1 - 2021"
"08:15:00",10.4,3.8,16.3,"Verão 1 - 2021"
"08:30:00",10.4,3.6,15.9,"Verão 1 - 2021"
"08:45:00",10.4,3.2,15.6,"Verão 1 - 2021"
"09:00:00",10.4,3.2,15.1,"Verão 1 - 2021"
"09:15:00",10.4,3,15.3,"Verão 1 - 2021"
"09:30:00",10.3,2.9,14.5,"Verão 1 - 2021"
"09:45:00",10.1,2.8,14,"Verão 1 - 2021"
"10:00:00",10,2.8,13.6,"Verão 1 - 2021"
"10:15:00",9.8,2.3,13.3,"Verão 1 - 2021"
"10:30:00",9.7,2.9,12.8,"Verão 1 - 2021"
"10:45:00",9.6,2.9,12.7,"Verão 1 - 2021"
"11:00:00",9.5,2.8,12.6,"Verão 1 - 2021"
"11:15:00",9.5,2.7,13,"Verão 1 - 2021"
"11:30:00",9.5,3.1,13,"Verão 1 - 2021"
"11:45:00",9.7,3.2,12.5,"Verão 1 - 2021"
"12:00:00",9.8,4.7,12.7,"Verão 1 - 2021"
"12:15:00",9.7,5.6,12.4,"Verão 1 - 2021"
"12:30:00",9.8,5.9,12.3,"Verão 1 - 2021"
"12:45:00",9.8,5.9,12.7,"Verão 1 - 2021"
"13:00:00",9.7,6,12.4,"Verão 1 - 2021"
"13:15:00",9.7,6,12,"Verão 1 - 2021"
"13:30:00",9.7,6.1,11.6,"Verão 1 - 2021"
"13:45:00",9.7,6.1,11.6,"Verão 1 - 2021"
"14:00:00",9.9,7.1,11.9,"Verão 1 - 2021"
"14:15:00",10.1,7.5,12.2,"Verão 1 - 2021"
"14:30:00",10.2,7.6,12.7,"Verão 1 - 2021"
"14:45:00",10.3,7.6,12.6,"Verão 1 - 2021"
"15:00:00",10.3,7.7,13.3,"Verão 1 - 2021"
"15:15:00",10.4,7.8,12.9,"Verão 1 - 2021"
"15:30:00",10.4,7.6,13.1,"Verão 1 - 2021"
"15:45:00",10.4,7.4,13.4,"Verão 1 - 2021"
"16:00:00",10.5,7.4,13.6,"Verão 1 - 2021"
"16:15:00",10.5,7.2,13.8,"Verão 1 - 2021"
"16:30:00",10.5,7.1,13.8,"Verão 1 - 2021"
"16:45:00",10.5,8,13.9,"Verão 1 - 2021"
"17:00:00",10.4,7.9,14,"Verão 1 - 2021"
"17:15:00",10.4,7.6,14.2,"Verão 1 - 2021"
"17:30:00",10.3,7.3,13.5,"Verão 1 - 2021"
"17:45:00",10.2,7.1,13.1,"Verão 1 - 2021"
"18:00:00",10.1,7,12.8,"Verão 1 - 2021"
"18:15:00",10.2,8,13.1,"Verão 1 - 2021"
"18:30:00",10.1,7.5,13.8,"Verão 1 - 2021"
"18:45:00",10,7.3,13.4,"Verão 1 - 2021"
"19:00:00",10,6.4,13.1,"Verão 1 - 2021"
"19:15:00",10,6.2,13.9,"Verão 1 - 2021"
"19:30:00",9.9,6.2,13.9,"Verão 1 - 2021"
"19:45:00",9.8,6.1,14,"Verão 1 - 2021"
"20:00:00",9.5,5.1,13.7,"Verão 1 - 2021"
"20:15:00",9.4,4.4,13.5,"Verão 1 - 2021"
"20:30:00",9.2,4.3,13.3,"Verão 1 - 2021"
"20:45:00",8.9,3.5,13.4,"Verão 1 - 2021"
"21:00:00",8.8,3.4,13.2,"Verão 1 - 2021"
"21:15:00",8.6,3.4,13.3,"Verão 1 - 2021"
"21:30:00",8.2,3.3,13.7,"Verão 1 - 2021"
"21:45:00",7.1,3.3,13.4,"Verão 1 - 2021"
"22:00:00",6.2,3,14,"Verão 1 - 2021"
"22:15:00",5.9,2.6,14.1,"Verão 1 - 2021"
"22:30:00",5.6,2.3,14.3,"Verão 1 - 2021"
"22:45:00",5,1.6,15,"Verão 1 - 2021"
"23:00:00",4.5,1.3,15.3,"Verão 1 - 2021"
"23:15:00",4.2,1.3,15.6,"Verão 1 - 2021"
"23:30:00",4,1.2,12.3,"Verão 1 - 2021"
"23:45:00",3.7,1.2,10.9,"Verão 1 - 2021"
"00:00:00",11,1.3,19.9,"Inverno 2019"
"00:15:00",10.9,1.3,20.2,"Inverno 2019"
"00:30:00",10.9,1.3,20.3,"Inverno 2019"
"00:45:00",10.9,1.3,21,"Inverno 2019"
"01:00:00",11,1.3,21.2,"Inverno 2019"
"01:15:00",11.1,1.3,21.7,"Inverno 2019"
"01:30:00",11.2,1.3,22,"Inverno 2019"
"01:45:00",11.2,1.2,22.2,"Inverno 2019"
"02:00:00",11.2,1.2,22.3,"Inverno 2019"
"02:15:00",11.2,1.2,22.4,"Inverno 2019"
"02:30:00",11.3,1.2,22.5,"Inverno 2019"
"02:45:00",11.3,1.1,22.1,"Inverno 2019"
"03:00:00",11.4,1.1,22.6,"Inverno 2019"
"03:15:00",11.4,1.1,22.3,"Inverno 2019"
"03:30:00",11.4,1.1,22.1,"Inverno 2019"
"03:45:00",11.5,1.1,22.3,"Inverno 2019"
"04:00:00",11.6,1.1,22.4,"Inverno 2019"
"04:15:00",11.6,1.1,22.7,"Inverno 2019"
