"Node","X.coord","Y.coord"
"n1",288569.82,9099062.49
"n2",288548.98,9099066.21
"n3",288391.27,9099090.96
"n4",288323.32,9099101.63
"n5",288462.32,9099079.81
"n6",288535.64,9099068.3
"n7",288461.04,9099072.78
"n8",288463.79,9099087.85
"n9",288390.1,9099083.85
"n10",288392.28,9099097.09
"n11",288593.02,9099400.17
"n12",288564.13,9099233.07
"n13",288515.81,9098953.63
"n14",288608.09,9099045.23
"n15",288659.86,9099365.91
"n16",288660,9099365.82
"n17",288636.67,9099221.76
"n18",288593.26,9098953.63
"n19",288635.78,9099216.21
"n20",288341.49,9099268.16
"n21",288340.85,9099265
"n22",288340.38,9099262.62
"n23",288489.12,9099239
"n24",288561.46,9099233.49
"n25",288419.42,9099255.65
"n26",288557.89,9099228.45
"n27",288548.44,9099173.03
"n28",288425.59,9099295.33
"n29",288482.78,9099198.36
"n30",288563.19,9099227.62
"n31",288348.56,9099266.9
"n32",288356.99,9099314.65
"n33",287974.26,9099330.42
"n34",288590.6,9099401.39
"n35",288560.51,9099228.04
"n36",288544.17,9099133.93
"n37",288591.99,9099400.68
"n38",288593.9,9099405.57
"n39",288503.24,9099453.63
"n40",288682.14,9099500.08
"n41",288574.66,9099527.55
"n42",288456.73,9099568.56
"n43",288362.26,9099647.09
"n44",288265.28,9099744.77
"n45",288227.81,9099728.93
"n46",288212.34,9099722.4
"n47",288147.3,9099689.82
"n48",288060.97,9099657.27
"n49",288013.74,9099651.58
"n50",287966.5,9099651.58
"n51",287966.26,9099656.87
"n52",288019.85,9099655.24
"n53",288057.31,9099660.12
"n54",288271.5,9099756.55
"n55",288301.57,9099717.51
"n56",288424.56,9099604.36
"n57",288481.56,9099565.34
"n58",288572.58,9099533.44
"n59",288683.7,9099510.27
"n60",288222.07,9099565.72
"n61",288674.89,9099453.63
"n62",288663.22,9099363.96
"n63",288595.08,9098953.63
"n64",288751.41,9099953.63
"n65",288683.56,9099510.3
"n66",288824.76,9100453.63
"n67",288848.92,9100602.51
"n68",288824.94,9100455.36
"n69",288909.65,9100953.63
"n70",288857.41,9100642.47
"n71",288679.94,9099453.63
"n72",288598.09,9098953.63
"n73",288757.34,9099953.52
"n74",288837.49,9100453.63
"n75",288923.3,9100953.63
"n76",288872.33,9100652.67
"n77",288852.87,9100552.24
"n78",288916.96,9100953.63
"n79",288860.3,9100623.09
"n80",288859.21,9100614
"n81",288875.78,9100589.34
"n82",288876.5,9100591.71
"n83",288871.72,9100597.86
"n84",288864.41,9100607.3
"n85",288874.83,9100584.94
"n86",288694.94,9099453.63
"n87",288708.4,9099547.28
"n88",288741.19,9099759.36
"n89",288744.69,9099784.58
"n90",288768.21,9099953.63
"n91",288848.3,9100453.63
"n92",288733.65,9099786.32
"n93",288730.54,9099764.6
"n94",288739.87,9099762.32
"n95",288740.27,9099762.22
"n96",288742.79,9099761.6
"n97",288746.36,9099760.73
"n98",288748.88,9099760.11
"n99",288916.68,9099719.06
"n100",288964.72,9099694.6
"n101",289020.27,9099666.9
"n102",289024.2,9099664.98
"n103",289028.77,9099662.95
"n104",289086.06,9099636.64
"n105",289105.18,9099627.83
"n106",289118.47,9099621.71
"n107",289319.71,9099531.63
"n108",289322.6,9099530.39
"n109",289343.63,9099529.77
"n110",289358.83,9099521.7
"n111",289479.89,9099462.76
"n112",289500.71,9099453.63
"n113",289571.76,9099423.39
"n114",289575.55,9099421.64
"n115",289624.44,9099400.19
"n116",289652.85,9099386.76
"n117",289668.54,9099379.17
"n118",289677.49,9099374.88
"n119",289716.95,9099356.1
"n120",289757.13,9099336.95
"n121",289841.18,9099296.93
"n122",289933.94,9099252.55
"n123",290017.31,9099211.13
"n124",290019.63,9099209.98
"n125",290022.22,9099208.69
"n126",290024.55,9099207.54
"n127",290096.85,9099171.62
"n128",288700.09,9099449.08
"n129",288753.11,9099439.07
"n130",288765.47,9099439.25
"n131",288797.67,9099439.73
"n132",288817.18,9099435.37
"n133",288818.18,9099735.4
"n134",288767.85,9099453.63
"n135",288819.51,9099742.83
"n136",288748.17,9099764.38
"n137",288778.13,9099757.14
"n138",288814.47,9099748.48
"n139",288887.94,9099730.95
"n140",288811.85,9099736.66
"n141",288813.81,9099745.5
"n142",288777.35,9099953.63
"n143",288747.22,9099758.22
"n144",288699.48,9099453.63
"n145",288857.2,9100453.63
"n146",288878.46,9100578.64
"n147",288879.56,9100585.1
"n148",288938.16,9100953.63
"n149",288932.37,9100917.84
"n150",288934.09,9100911.28
"n151",288895.83,9100681.09
"n152",288887.25,9100629.47
"n153",288953.73,9101041.71
"n154",288956.87,9101045.38
"n155",288966.64,9101128.2
"n156",288977.6,9101190.96
"n157",288987.98,9101250.42
"n158",288992.45,9101276.05
"n159",288999.27,9101315.08
"n160",289007.26,9101360.85
"n161",289023.45,9101453.63
"n162",289060.22,9100650.23
"n163",288967.64,9100665.52
"n164",289062.05,9100534.2
"n165",289077.68,9100591.23
"n166",289067.59,9100631.06
"n167",289051.28,9100673.48
"n168",289085.62,9100527.69
"n169",288967.39,9100561.19
"n170",288887.14,9100629.66
"n171",288916.56,9100582.06
"n172",289085.53,9100527.37
"n173",289135.53,9100513.35
"n174",289194.17,9100496.65
"n175",289200.46,9100496.46
"n176",289208.95,9100500.42
"n177",289221,9100493.01
"n178",289227.87,9100494.83
"n179",289437.83,9100523.9
"n180",288869.3,9100586.83
"n181",288966.68,9100554.67
"n182",289221.95,9100497.47
"n183",289210.39,9100503.46
"n184",289182.75,9100495.09
"n185",289160.66,9100498.38
"n186",289131.98,9100506.26
"n187",289102.18,9100514.44
"n188",289059.13,9100527.38
"n189",289240.2,9100493.82
"n190",289228.82,9100492.21
"n191",289255.01,9100495.47
"n192",289344.32,9100508.43
"n193",289345.13,9100508.61
"n194",289468.32,9100528.89
"n195",289627.05,9100550.18
"n196",289424.3,9100524.93
"n197",289423.42,9100524.93
