"ID","Elevation","Demand","Pattern"
"n1",9.30259,0,NA
"n2",9.52589,0,NA
"n3",17.28224,0,NA
"n4",21.6821,0,NA
"n5",13.39839,0,NA
"n6",9.72405,0,NA
"n7",13.78664,0,NA
"n8",13.26243,0,NA
"n9",17.60733,0,NA
"n10",17.10454,0,NA
"n11",7.48,0,NA
"n12",8.65,0,NA
"n13",13.94885,0,NA
"n14",9.13881,0,NA
"n15",8.54,0,NA
"n16",8.49,0,NA
"n17",8.8,0,NA
"n18",9.2042,0,NA
"n19",8.755,0,NA
"n20",12.0125,0,NA
"n21",12.09,0,NA
"n22",12.24,0,NA
"n23",10.046,0,NA
"n24",8.66185,0,NA
"n25",11.32667,0,NA
"n26",8.62,0,NA
"n27",9.4011,0,NA
"n28",10.49,0,NA
"n29",10.92,0,NA
"n30",8.66,0,NA
"n31",12.07333,0,NA
"n32",10.89458,0,NA
"n33",11.37811,0,NA
"n34",7.478,0,NA
"n35",8.65,0,NA
"n36",9.45275,0,NA
"n37",7.42333,0,NA
"n38",6.204,0,NA
"n39",5.388,0,NA
"n40",6.58112,0,NA
"n41",7.28,0,NA
"n42",8.475,0,NA
"n43",8.2,0,NA
"n44",8.89,0,NA
"n45",8.61534,0,NA
"n46",8.62667,0,NA
"n47",8.515,0,NA
"n48",8.65,0,NA
"n49",8.49937,0,NA
"n50",8.56723,0,NA
"n51",8.56536,0,NA
"n52",8.56,0,NA
"n53",8.724,0,NA
"n54",8.69258,0,NA
"n55",8.29,0,NA
"n56",8.77,0,NA
"n57",8.36,0,NA
"n58",8.06,0,NA
"n59",8.938,0,NA
"n60",8.00773,0,NA
"n61",8.85,0,NA
"n62",8.43,0,NA
"n63",9.22428,0,NA
"n64",7.45415,0,NA
"n65",8.938,0,NA
"n66",7.77,0,NA
"n67",7.945,0,NA
"n68",7.77878,0,NA
"n69",8.65,0,NA
"n70",7.6,0,NA
"n71",9.072,0,NA
"n72",9.26021,0,NA
"n73",7.5495,0,NA
"n74",8.45872,0,NA
"n75",9.02,0,NA
"n76",8.275,0,NA
"n77",8.35333,0,NA
"n78",8.8475,0,NA
"n79",8.15,0,NA
"n80",8.085,0,NA
"n81",8.23,0,NA
"n82",8.25511,0,NA
"n83",8.14747,0,NA
"n84",8.37814,0,NA
"n85",8.1525,0,NA
"n86",8.49333,0,NA
"n87",8.78,0,NA
"n88",8.22333,0,NA
"n89",8.13,0,NA
"n90",7.52905,0,NA
"n91",8.04,0,NA
"n92",8.3,0,NA
"n93",8.51,0,NA
"n94",8.0925,0,NA
"n95",8.07,0,NA
"n96",8.15,0,NA
"n97",8.176,0,NA
"n98",8.13,0,NA
"n99",6.77,0,NA
"n100",6.3,0,NA
"n101",6.0266,0,NA
"n102",5.98861,0,NA
"n103",6.02336,0,NA
"n104",7.69551,0,NA
"n105",7.602,0,NA
"n106",7.57461,0,NA
"n107",6.212,0,NA
"n108",6.25,0,NA
"n109",2.94,0,NA
"n110",6.27105,0,NA
"n111",7.46667,0,NA
"n112",7.70677,0,NA
"n113",7.76333,0,NA
"n114",7.69,0,NA
"n115",7.3,0,NA
"n116",7.17444,0,NA
"n117",7.2275,0,NA
"n118",7.222,0,NA
"n119",7.22077,0,NA
"n120",6.72,0,NA
"n121",6.265,0,NA
"n122",3.35,0,NA
"n123",4.465,0,NA
"n124",4.4975,0,NA
"n125",4.51,0,NA
"n126",4.55125,0,NA
"n127",3.855,0,NA
"n128",8.67,0,NA
"n129",8.81031,0,NA
"n130",8.578,0,NA
"n131",7.355,0,NA
"n132",8.135,0,NA
"n133",7.96033,0,NA
"n134",4.26489,0,NA
"n135",7.57,0,NA
"n136",8.12,0,NA
"n137",7.96,0,NA
"n138",7.814,0,NA
