"ID","Elev","X-Coord","Y-Coord"
"n1",9.30259,288569.82,9099062.49
"n2",9.52589,288548.98,9099066.21
"n3",17.28224,288391.27,9099090.96
"n4",21.6821,288323.32,9099101.63
"n5",13.39839,288462.32,9099079.81
"n6",9.72405,288535.64,9099068.3
"n7",13.78664,288461.04,9099072.78
"n8",13.26243,288463.79,9099087.85
"n9",17.60733,288390.1,9099083.85
"n10",17.10454,288392.28,9099097.09
"n11",7.48,288593.02,9099400.17
"n12",8.65,288564.13,9099233.07
"n13",13.94885,288515.81,9098953.63
"n14",9.13881,288608.09,9099045.23
"n15",8.54,288659.86,9099365.91
"n16",8.49,288660,9099365.82
"n17",8.8,288636.67,9099221.76
"n18",9.2042,288593.26,9098953.63
"n19",8.755,288635.78,9099216.21
"n20",12.0125,288341.49,9099268.16
"n21",12.09,288340.85,9099265
"n22",12.24,288340.38,9099262.62
"n23",10.046,288489.12,9099239
"n24",8.66185,288561.46,9099233.49
"n25",11.32667,288419.42,9099255.65
"n26",8.62,288557.89,9099228.45
"n27",9.4011,288548.44,9099173.03
"n28",10.49,288425.59,9099295.33
"n29",10.92,288482.78,9099198.36
"n30",8.66,288563.19,9099227.62
"n31",12.07333,288348.56,9099266.9
"n32",10.89458,288356.99,9099314.65
"n33",11.37811,287974.26,9099330.42
"n34",7.478,288590.6,9099401.39
"n35",8.65,288560.51,9099228.04
"n36",9.45275,288544.17,9099133.93
"n37",7.42333,288591.99,9099400.68
"n38",6.204,288593.9,9099405.57
"n39",5.388,288503.24,9099453.63
"n40",6.58112,288682.14,9099500.08
"n41",7.28,288574.66,9099527.55
"n42",8.475,288456.73,9099568.56
"n43",8.2,288362.26,9099647.09
"n44",8.89,288265.28,9099744.77
"n45",8.61534,288227.81,9099728.93
"n46",8.62667,288212.34,9099722.4
"n47",8.515,288147.3,9099689.82
"n48",8.65,288060.97,9099657.27
"n49",8.49937,288013.74,9099651.58
"n50",8.56723,287966.5,9099651.58
"n51",8.56536,287966.26,9099656.87
"n52",8.56,288019.85,9099655.24
"n53",8.724,288057.31,9099660.12
"n54",8.69258,288271.5,9099756.55
"n55",8.29,288301.57,9099717.51
"n56",8.77,288424.56,9099604.36
"n57",8.36,288481.56,9099565.34
"n58",8.06,288572.58,9099533.44
"n59",8.938,288683.7,9099510.27
"n60",8.00773,288222.07,9099565.72
"n61",8.85,288674.89,9099453.63
"n62",8.43,288663.22,9099363.96
"n63",9.22428,288595.08,9098953.63
"n64",7.45415,288751.41,9099953.63
"n65",8.938,288683.56,9099510.3
"n66",7.77,288824.76,9100453.63
"n67",7.945,288848.92,9100602.51
