"ID","Node1","Node2","Length","Diameter","Roughness"
"p1","n1","n2",21.16,75,130
"p2","n3","n4",68.78,75,130
"p3","n5","n6",74.21,75,130
"p4","n5","n7",7.146,75,130
"p5","n5","n8",8.168,75,130
"p6","n3","n9",7.204,75,130
"p7","n3","n10",6.21,75,130
"p8","n5","n3",71.92,75,130
"p9","n11","n12",169.6,200,130
"p10","n6","n2",13.51,75,130
"p11","n13","n6",116.4,200,130
"p12","n14","n1",41.99,75,130
"p13","n15","n16",0.1622,150,130
"p14","n16","n17",145.9,150,130
"p15","n14","n18",92.79,150,130
"p16","n14","n19",173.2,150,130
"p17","n19","n17",5.617,150,130
"p18","n20","n21",3.224,75,130
"p19","n22","n23",150.6,75,130
"p20","n24","n25",143.8,75,130
"p21","n26","n27",56.22,75,130
"p22","n25","n28",40.16,75,130
"p23","n23","n29",41.13,150,130
"p24","n19","n30",73.48,75,130
"p25","n26","n23",69.58,75,130
"p26","n25","n31",71.75,75,130
"p27","n31","n20",7.179,75,130
"p28","n31","n32",48.49,100,130
"p29","n33","n21",372.4,100,130
"p30","n24","n34",170.4,100,130
"p31","n11","n16",75.27,100,130
"p32","n35","n26",2.651,75,130
"p33","n17","n12",73.42,75,130
"p34","n12","n24",2.707,75,130
"p35","n35","n24",5.535,100,130
"p36","n35","n36",95.51,100,130
"p37","n30","n35",2.71,75,130
"p38","n6","n30",161.7,200,130
"p39","n30","n12",5.538,200,130
"p40","n11","n37",1.155,100,130
"p41","n37","n34",1.559,100,130
"p42","n37","n38",5.294,200,130
"p43","n38","n39",102.6,200,130
"p44","n40","n41",110.9,100,130
"p45","n41","n42",124.8,100,130
"p46","n42","n43",122.8,100,130
"p47","n43","n44",137.7,100,130
"p48","n44","n45",40.68,100,130
"p49","n46","n47",72.74,100,130
"p50","n47","n48",92.26,100,130
"p51","n48","n49",47.58,100,130
"p52","n49","n50",47.24,100,130
"p53","n51","n52",53.61,200,130
"p54","n52","n53",37.78,200,130
"p55","n53","n54",234.9,200,130
"p56","n54","n55",49.28,200,130
"p57","n55","n56",167.1,200,130
"p58","n56","n57",69.07,200,130
"p59","n57","n58",96.45,200,130
"p60","n58","n59",113.5,200,130
"p61","n45","n60",163.3,75,130
"p62","n45","n46",16.79,100,130
"p63","n61","n62",90.43,600,130
"p64","n62","n63",415.9,600,130
"p65","n64","n65",448.5,600,130
"p66","n66","n64",505.4,600,130
"p67","n67","n68",149.1,600,130
"p68","n68","n66",1.737,600,130
"p69","n69","n70",315.5,600,130
"p70","n70","n67",40.85,600,130
"p71","n61","n40",47.02,600,130
"p72","n40","n65",10.32,600,130
"p73","n71","n72",506.7,750,130
"p74","n71","n73",505.9,750,130
"p75","n73","n74",506.5,750,130
"p76","n75","n76",305.2,750,130
"p77","n76","n77",102.3,750,130
"p78","n77","n74",99.8,750,130
"p79","n78","n79",335.4,100,130
"p80","n79","n80",9.153,100,130
"p81","n81","n82",2.47,100,130
"p82","n82","n83",7.788,100,130
"p83","n83","n84",11.94,100,130
"p84","n85","n81",4.502,100,130
"p85","n84","n80",8.484,100,130
"p86","n86","n87",94.61,750,130
"p87","n87","n88",214.6,750,130
"p88","n89","n90",170.7,750,130
"p89","n91","n90",506.4,750,130
"p90","n89","n92",11.16,700,130
"p91","n92","n93",21.94,700,130
"p92","n93","n94",9.597,700,130
"p93","n94","n95",0.4148,700,130
"p94","n96","n97",3.671,700,130
"p95","n98","n99",172.7,700,130
"p96","n99","n100",53.92,700,130
"p97","n100","n101",62.07,700,130
"p98","n101","n102",4.372,700,130
"p99","n102","n103",5.001,500,130
"p100","n103","n104",63.05,500,130
"p101","n104","n105",21.05,500,130
"p102","n105","n106",14.64,500,130
"p103","n106","n107",220.5,500,130
"p104","n107","n108",3.149,500,130
"p105","n108","n109",21.04,500,130
"p106","n109","n110",17.21,500,130
"p107","n110","n111",134.6,500,130
"p108","n111","n112",22.73,400,130
"p109","n112","n113",77.22,400,130
"p110","n113","n114",4.173,400,130
"p111","n114","n115",53.39,400,130
"p112","n115","n116",31.42,400,130
"p113","n116","n117",17.42,100,130
"p114","n117","n118",9.929,300,130
"p115","n118","n119",43.71,300,130
"p116","n119","n120",44.5,300,130
"p117","n120","n121",93.1,300,130
"p118","n121","n122",102.8,300,130
"p119","n122","n123",93.09,100,130
"p120","n124","n125",2.887,100,130
"p121","n126","n127",80.74,100,130
"p122","n88","n89",25.46,750,130
"p123","n128","n129",53.96,75,130
"p124","n129","n130",12.35,75,130
"p125","n131","n132",19.99,75,130
"p126","n130","n131",32.21,75,130
"p127","n133","n134",286.2,150,130
"p128","n133","n135",7.554,150,130
"p129","n136","n137",30.82,150,130
"p130","n137","n138",37.36,150,130
"p131","n139","n138",75.53,150,130
"p132","n133","n140",6.455,150,130
"p133","n141","n138",3.045,150,130
"p134","n142","n136",191.5,150,130
"p135","n143","n144",308.3,150,130
"p136","n142","n145",506.3,150,130
"p137","n146","n145",126.8,150,130
"p138","n147","n146",6.55,150,130
"p139","n148","n149",36.25,150,130
