"Situação da Ligação de Água","Categoria de Imóvel","Perfil de Imóvel","Setor","CONSUMO_MEDIDO","TIPO_CONSUMO","MUNICIPIO","QUANTIDADE_ECONOMIAS","x","y"
"LIGADO","RESIDENCIAL","NORMAL",613,7,"REAL","RECIFE",1,-3886367.32961953,-908271.400498863
"LIGADO","COMERCIAL","NORMAL",613,18,"REAL","RECIFE",2,-3886127.18909892,-909120.826765214
"LIGADO","RESIDENCIAL","GRANDE",611,515,"REAL","RECIFE",42,-3885835.90194771,-909366.375773642
"CORTADO","COMERCIAL","NORMAL",613,0,"REAL","RECIFE",1,-3886680.54025389,-908368.716733321
"LIGADO","RESIDENCIAL","CORPORATIVO",611,1734,"REAL","RECIFE",104,-3885543.45573796,-908442.887701419
"LIGADO","RESIDENCIAL","NORMAL",611,8,"REAL","RECIFE",1,-3885145.86415033,-908156.397124906
"LIGADO","COMERCIAL","NORMAL",611,32,"REAL","RECIFE",1,-3886346.46389417,-909168.900233848
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"N MEDIDO","RECIFE",2,-3886249.81263872,-909480.438528773
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",1,-3886422.67633452,-909470.127702187
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",1,-3886418.29335221,-909471.796843692
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"LIGADO","COMERCIAL","GRANDE",611,104,"REAL","RECIFE",15,-3885801.61565586,-909024.729798095
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"N MEDIDO","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"CONS CORT","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",2,NA,NA
"SUP. PARC. PEDIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
