Data e hora,Pressão - PC 52 (mca),Pressao - PM D52 (mca),Vazao (L/s),Ano,Mes,Dia,Dia da Semana,Horario,Turno,Estacao
2021-03-09T09:15:00Z,7.6,10.5,217.375152587891,2021,3,9,Terca,09:15:00,Manha,Verao
2021-03-09T09:30:00Z,7.3,9.9,217.406875610352,2021,3,9,Terca,09:30:00,Manha,Verao
2021-03-09T09:45:00Z,7.3,9.8,41.3252105712891,2021,3,9,Terca,09:45:00,Manha,Verao
2021-03-09T10:00:00Z,7.3,9.6,40.9864883422852,2021,3,9,Terca,10:00:00,Manha,Verao
2021-03-09T10:15:00Z,7.2,9.3,43.4813804626465,2021,3,9,Terca,10:15:00,Manha,Verao
2021-03-09T10:30:00Z,7.2,9.1,40.163459777832,2021,3,9,Terca,10:30:00,Manha,Verao
2021-03-09T10:45:00Z,7,9,40.9864883422852,2021,3,9,Terca,10:45:00,Manha,Verao
2021-03-09T11:00:00Z,6.7,9,42.1971092224121,2021,3,9,Terca,11:00:00,Manha,Verao
2021-03-09T11:15:00Z,2.8,8.8,238.030548095703,2021,3,9,Terca,11:15:00,Manha,Verao
2021-03-09T11:30:00Z,2.6,8.3,232.575317382813,2021,3,9,Terca,11:30:00,Manha,Verao
2021-03-09T11:45:00Z,2.7,3.6,200.0146484375,2021,3,9,Terca,11:45:00,Manha,Verao
2021-03-09T12:00:00Z,2.7,3.5,243.925674438477,2021,3,9,Terca,12:00:00,Tarde,Verao
2021-03-09T12:15:00Z,2.5,3.6,238.106658935547,2021,3,9,Terca,12:15:00,Tarde,Verao
2021-03-09T12:30:00Z,4.5,3.5,227.290374755859,2021,3,9,Terca,12:30:00,Tarde,Verao
2021-03-09T12:45:00Z,5.4,4,227.05729675293,2021,3,9,Terca,12:45:00,Tarde,Verao
2021-03-09T13:00:00Z,5.4,6.4,232.57861328125,2021,3,9,Terca,13:00:00,Tarde,Verao
2021-03-09T13:15:00Z,5.4,6.8,232.57861328125,2021,3,9,Terca,13:15:00,Tarde,Verao
2021-03-09T13:30:00Z,5.3,6.8,227.40869140625,2021,3,9,Terca,13:30:00,Tarde,Verao
2021-03-09T13:45:00Z,4.9,6.7,238.106658935547,2021,3,9,Terca,13:45:00,Tarde,Verao
2021-03-09T14:00:00Z,4.9,6.6,243.918426513672,2021,3,9,Terca,14:00:00,Tarde,Verao
2021-03-09T14:15:00Z,5.2,6.6,249.889419555664,2021,3,9,Terca,14:15:00,Tarde,Verao
2021-03-09T14:30:00Z,5.8,6.3,232.573654174805,2021,3,9,Terca,14:30:00,Tarde,Verao
2021-03-09T14:45:00Z,6.1,7.7,243.796829223633,2021,3,9,Terca,14:45:00,Tarde,Verao
2021-03-09T15:00:00Z,6.1,8,217.408325195313,2021,3,9,Terca,15:00:00,Tarde,Verao
2021-03-09T15:15:00Z,6.5,8.2,222.124313354492,2021,3,9,Terca,15:15:00,Tarde,Verao
2021-03-09T15:30:00Z,7.2,8.5,217.271377563477,2021,3,9,Terca,15:30:00,Tarde,Verao
2021-03-09T15:45:00Z,8,9.4,237.95622253418,2021,3,9,Terca,15:45:00,Tarde,Verao
2021-03-09T16:00:00Z,8,10.1,243.952926635742,2021,3,9,Terca,16:00:00,Tarde,Verao
2021-03-09T16:15:00Z,8.5,10.6,250.019073486328,2021,3,9,Terca,16:15:00,Tarde,Verao
2021-03-09T16:30:00Z,8.4,10.8,222.342849731445,2021,3,9,Terca,16:30:00,Tarde,Verao
2021-03-09T16:45:00Z,8.2,11.5,217.277145385742,2021,3,9,Terca,16:45:00,Tarde,Verao
2021-03-09T17:00:00Z,8,11.3,227.290374755859,2021,3,9,Terca,17:00:00,Tarde,Verao
2021-03-09T17:15:00Z,7.3,11.5,222.121307373047,2021,3,9,Terca,17:15:00,Tarde,Verao
2021-03-09T17:30:00Z,7.1,11.1,222.237289428711,2021,3,9,Terca,17:30:00,Tarde,Verao
